id,title,original_air_date,production_code,season,number_in_season,number_in_series,us_viewers_in_millions,views,imdb_rating
99,Burns' Heir,4/14/94,1F16,5,18,99,14.7,81678,8.4
137,Sideshow Bob's Last Gleaming,11/26/95,3F08,7,9,137,14.2,61246,8
113,Grampa vs. Sexual Inadequacy,12/4/94,2F07,6,10,113,14.1,64719,8
147,A Fish Called Selma,3/24/96,3F15,7,19,147,12.9,57830,8.2
117,Bart's Comet,2/5/95,2F11,6,14,117,18.7,67619,8.6
131,Home Sweet Homediddly-Dum-Doodily,10/1/95,3F01,7,3,131,14.5,70120,8.3
142,Scenes from the Class Struggle in Springfield,2/4/96,3F11,7,14,142,14.4,58572,7.7
119,Bart vs. Australia,2/19/95,2F13,6,16,119,15.1,80724,8.5
135,King-Size Homer,11/5/95,3F05,7,7,135,17,81426,9
103,Secrets of a Successful Marriage,5/19/94,1F20,5,22,103,15.6,67959,8
105,Lisa's Rival,9/11/94,1F17,6,2,105,16.7,54225,8.1
121,A Star Is Burns,3/5/95,2F31,6,18,121,14.4,71936,8.5
122,Lisa's Wedding,3/19/95,2F15,6,19,122,14.4,74266,8.3
106,Another Simpsons Clip Show,9/25/94,2F33,6,3,106,13.5,42576,6
133,Lisa the Vegetarian,10/15/95,3F03,7,5,133,14.6,69245,8.5
124,The PTA Disbands,4/16/95,2F19,6,21,124,11.8,74788,8.1
108,Sideshow Bob Roberts,10/9/94,2F02,6,5,108,14.4,76932,8.3
110,Bart's Girlfriend,11/6/94,2F04,6,7,110,15.3,62450,8
129,Who Shot Mr. Burns? (Part Two),9/17/95,2F20,7,1,129,16,67579,8.9
126,The Springfield Connection,5/7/95,2F21,6,23,126,12.7,79777,8.2
145,Homer the Smithers,2/25/96,3F14,7,17,145,14.1,68354,8.9
112,Homer Badman,11/27/94,2F06,6,9,112,17,71577,9
115,Homer the Great,1/8/95,2F09,6,12,115,20.1,71002,8.9
138,The Simpsons 138th Episode Spectacular,12/3/95,3F31,7,10,138,16.4,56153,7.5
141,Two Bad Neighbors,1/14/96,3F09,7,13,141,16.5,64224,8.7
144,Lisa the Iconoclast,2/18/96,3F13,7,16,144,13.4,58795,8.1
136,Mother Simpson,11/19/95,3F06,7,8,136,15.3,61085,8.5
150,"Raging Abe Simpson and His Grumbling Grandson in ""The Curse of the Flying Hellfish""",4/28/96,3F19,7,22,150,13,69120,8.3
152,Homerpalooza,5/19/96,3F21,7,24,152,12.9,60569,8
181,Lisa's Sax,10/19/97,3G02,9,3,181,12.9,20008,8.1
166,Simpsoncalifragilisticexpiala(Annoyed Grunt)cious,2/7/97,3G03,8,13,166,17.7,57608,7.7
154,Treehouse of Horror VII,10/27/96,4F02,8,1,154,18.3,102077,8.3
169,Brother from Another Series,2/23/97,4F14,8,16,169,15.1,56659,8.2
156,The Homer They Fall,11/10/96,4F03,8,3,156,17,61146,8
